"citric acid","chlorides","pH","alcohol"
0,0.076,3.51,9.4
0,0.098,3.2,9.8
0.04,0.092,3.26,9.8
0,0.076,3.51,9.4
0,0.075,3.51,9.4
0.06,0.069,3.3,9.4
0.36,0.071,3.35,10.5
0.08,0.097,3.28,9.2
0.36,0.071,3.35,10.5
0,0.089,3.58,9.9
0.29,0.114,3.26,9.1
0.18,0.176,3.16,9.2
0.19,0.17,3.17,9.2
0.28,0.368,3.11,9.3
0.08,0.086,3.38,9
0.31,0.082,3.52,9.7
0.21,0.106,3.17,9.5
0.11,0.084,3.17,9.4
0.16,0.08,3.34,9.3
0.24,0.08,3.28,9.5
0.21,0.106,3.17,9.5
0,0.08,3.47,9.4
0.07,0.089,3.35,10.1
0.12,0.083,3.17,9.8
0.25,0.103,3.38,9.2
0.09,0.172,3.5,9.8
0.36,0.074,3.33,10.5
0.36,0.074,3.33,10.5
0.3,0.088,3.26,9.3
0.22,0.069,3.3,10.3
0.02,0.05,3.48,9.5
0.15,0.054,3.9,13.1
0.43,0.114,3.25,9.2
0.52,0.113,3.25,9.5
0.23,0.066,3.34,9.2
0.37,0.074,3.32,9.2
0.26,0.074,3.15,9.2
0.36,0.081,3.2,9.4
0.04,0.084,3.34,9.5
0.57,0.07,3.04,9.6
0.12,0.111,3.26,9.4
0.18,0.076,3.43,10
0.4,0.079,3.44,9.2
0.49,0.115,3.21,9.3
0.05,0.081,3.39,9.8
0.05,0.086,3.41,10.9
0.05,0.086,3.41,10.9
0.11,0.079,3.42,9.6
0.07,0.076,3.44,10.7
0.57,0.074,3.28,10.7
0.23,0.088,3.32,9.5
0.22,0.084,3.31,9.5
0.26,0.084,3.31,9.2
0.54,0.094,3.28,9.6
0.64,0.093,3.54,10.5
0.64,0.093,3.54,10.5
0.12,0.086,3.38,10.1
0.2,0.08,3.16,9.1
0.2,0.069,3.41,9.2
0.7,0.464,3.13,9.4
0.47,0.086,3.36,9.1
0.26,0.401,3.16,9.4
0.15,0.076,3.41,10.1
0.26,0.062,3.39,9.6
0.44,0.107,3.14,9.5
0.08,0.076,3.48,9
0.26,0.079,3.23,9.5
0.29,0.11,2.93,9.8
0.26,0.062,3.39,9.6
0.04,0.045,3.75,10.5
0,0.102,3.45,10.7
0.25,0.07,3.25,9.2
0.06,0.079,3.39,9.8
0.22,0.077,3.29,9.2
0.24,0.07,3.33,9.4
0.22,0.077,3.29,9.2
0.68,0.467,3.08,9.3
0.31,0.088,3.46,9.3
0.52,0.122,3.21,9.3
0.19,0.104,3.19,9.5
0.09,0.084,3.15,9.8
0.1,0.085,3.15,9.8
0.19,0.104,3.19,9.5
0.09,0.178,3.3,9
0,0.075,3.49,9.2
0,0.08,3.44,9.5
0.17,0.082,3.39,9.5
0.04,0.146,3.16,9.4
0,0.081,3.53,10.9
0,0.082,3.54,10.9
0.15,0.072,3.42,9.4
0.56,0.118,3.24,9.4
0.09,0.049,3.63,13
0.09,0.049,3.63,13
0.11,0.09,3.19,9.6
0.15,0.089,3.23,9.5
0.36,0.081,3.48,9.2
0.19,0.081,3.33,9.5
0.19,0.081,3.32,9.5
0.11,0.09,3.19,9.6
0.15,0.089,3.23,9.5
0.08,0.066,3.34,9.4
0.55,0.117,3.17,9.4
0.02,0.087,3.54,10
0.26,0.236,3.11,9.3
1,0.61,2.74,9.4
0.03,0.095,3.35,10.1
0.03,0.095,3.35,10.1
0.42,0.07,3.42,10.5
0.42,0.071,3.42,10.5
0.42,0.07,3.42,10.5
0.42,0.071,3.42,10.5
0,0.073,3.48,9.3
0.03,0.09,3.2,9.6
0.02,0.072,3.17,9.2
0.26,0.07,3.37,9.4
