"citric acid","chlorides","pH","alcohol","quality"
"citric acid","chlorides","pH","alcohol","quality"
0.41,0.033,2.99,12,5
0.4,0.035,3.14,9.7,5
0.37,0.04,3.18,10.8,5
0.62,0.04,2.98,9.7,5
0.14,0.044,3.22,9.5,5
0.14,0.074,3.05,9.3,5
0.2,0.044,3.37,10.2,5
0.43,0.08,3.19,12.8,5
0.23,0.051,3.24,10,5
0.39,0.057,3.21,8.6,5
0.39,0.057,3.21,8.6,5
0.26,0.063,3.27,9.8,4
0.25,0.066,3.25,9.8,5
0.35,0.067,3.36,9.8,5
0.07,0.035,3.02,10.5,5
0.03,0.064,3.22,9.1,5
0.13,0.041,3.14,9.8,5
0.29,0.05,3.13,9.5,5
0.23,0.061,3.32,9.5,5
0.28,0.063,3.69,10,5
0.29,0.05,3.13,9.5,5
0.3,0.064,2.94,9.3,5
0.28,0.06,3.27,9,5
0.2,0.063,3.17,10,5
0.61,0.045,3.11,8.7,5
0.61,0.045,3.11,8.7,5
0.43,0.049,3.12,9,5
0.46,0.038,2.89,10.1,4
0.37,0.06,3,9.1,5
0.32,0.054,3.4,9.4,5
0.24,0.05,3.34,9.4,5
0.4,0.059,2.99,9,5
0.37,0.06,3,9.1,5
0.32,0.054,3.4,9.4,5
0.28,0.051,3.27,10.3,5
0.46,0.052,3.04,8.9,5
0.5,0.056,3.01,9.2,5
0.34,0.049,3.22,9.1,5
0.34,0.049,3.22,9.1,5
0,0.065,3.63,9.7,4
0.5,0.056,3.01,9.2,5
0.48,0.06,3.04,9.2,5
0.04,0.046,3.22,10.2,5
0.32,0.054,3.01,8.8,5
0.31,0.059,3.29,9.7,5
0.23,0.033,3.14,10.5,5
0.25,0.02,3.39,10.6,5
0.4,0.038,3.23,9,5
0.27,0.035,3.24,9.2,5
0.22,0.034,3.19,8.9,5
0.31,0.036,3.26,9.6,5
0.67,0.045,3.16,8.7,5
0.34,0.045,3.3,10.2,5
0.67,0.045,3.16,8.7,5
0.14,0.058,3.38,9,4
0.41,0.048,3.14,10.4,5
0.56,0.055,2.98,9.1,5
0.3,0.049,3.28,10.6,5
0.35,0.05,3.15,9.5,5
0.36,0.051,3.16,9.8,5
0.31,0.055,3.08,9.3,5
0.48,0.034,2.87,10,5
0.37,0.037,3.03,11.4,4
0.31,0.051,3.09,10.2,5
0.47,0.044,3.03,12.6,4
0.3,0.054,3.28,9.4,5
0.07,0.06,3.11,8.7,4
0.15,0.053,3.09,9.2,5
0.4,0.048,2.93,8.7,5
0.56,0.043,3.02,9.3,5
0.56,0.043,3.02,9.3,5
0.23,0.038,3.15,11,5
0.28,0.047,3.09,8.9,4
0.4,0.048,2.93,8.7,5
0.34,0.055,3.36,9.6,5
0.44,0.2,3.02,9.1,5
0.44,0.197,3.01,9.1,5
0.24,0.052,3.13,8.9,5
0.24,0.05,3.1,8.8,5
0.24,0.052,3.13,8.9,5
0.26,0.049,3.15,9.3,5
0.24,0.05,3.1,8.8,5
0.32,0.05,3.2,9.6,5
0.35,0.053,3.28,10.2,4
0.5,0.042,3.15,8.8,5
0.32,0.045,3.21,9.2,5
0.88,0.049,2.99,9.9,4
0.29,0.04,3.32,10.2,5
0.25,0.032,3.31,10.5,5
0.32,0.045,3.21,9.2,5
0.24,0.044,3.31,9.4,5
0.36,0.036,3.03,11,5
0.24,0.044,3.31,9.4,5
0.24,0.044,3.31,9.4,5
0.36,0.036,3.04,11,5
0.36,0.036,3.03,11,5
0.41,0.046,3.32,8.7,5
0.41,0.046,3.32,8.7,5
0.08,0.062,3.37,8.9,4
0.23,0.05,3.2,8.7,5
0.26,0.031,3.13,10.4,5
0.56,0.043,3.14,8.7,5
0.14,0.037,3.38,10,5
0.28,0.053,3.72,10,4
0.21,0.074,3.02,9.8,3
0.56,0.043,3.14,8.7,5
0.44,0.029,3.53,11.7,3
0.38,0.037,3.28,11.4,4
0.4,0.043,2.93,8.9,5
0.4,0.036,3.17,10.2,5
0.4,0.043,2.93,8.9,5
0.07,0.043,3.34,9.7,5
0.07,0.044,3.33,9.7,5
0.26,0.051,3.29,9.3,5
0.3,0.057,3.24,9,5
0.54,0.046,3.05,9.5,5
0.4,0.042,2.89,10.6,5
0.34,0.044,3.05,10.6,4
0.37,0.047,3.08,10.5,4
0.3,0.054,3.19,9.3,5
0.24,0.055,3.12,8.8,5
0.25,0.056,3.08,8.8,5
0.42,0.066,2.96,9.1,5
0.38,0.066,3.23,8.5,3
0.7,0.045,3.09,9.4,5
0.24,0.058,3.2,9.9,5
0.21,0.04,3.29,10,5
0.35,0.031,3.19,10.5,5
0.35,0.031,3.19,10.5,5
0.51,0.046,3.02,11.4,5
0.31,0.057,3.18,10.5,5
0.41,0.036,3.17,10.4,5
0.34,0.032,3.2,10.6,5
0.34,0.038,3.11,9.8,5
0.26,0.031,3.25,10.8,5
0.4,0.047,3.45,10.4,5
0.47,0.053,3.29,10,5
0.45,0.054,3.15,10,5
0.14,0.055,3.15,8.9,5
0.35,0.044,3.17,11.6,5
0.19,0.048,3.34,10,5
0.35,0.04,3.12,10.1,5
0.32,0.031,3.1,10.6,5
0.51,0.044,3.19,8.8,5
0.12,0.04,3.18,10,5
0.42,0.031,3.09,11.4,5
0.27,0.048,3.35,9.4,5
0.51,0.044,3.19,8.8,5
0.07,0.069,3.23,9.2,5
0.31,0.046,3.07,8.7,5
0.12,0.04,3.18,10,5
0.24,0.049,3.17,9.4,5
0.42,0.031,3.09,11.4,5
0.39,0.036,3.16,10.5,5
0.39,0.036,3.16,10.5,5
0.22,0.047,3.1,9,5
0.5,0.053,3.09,9.4,5
0.27,0.051,3.06,9.1,5
0.47,0.056,3.1,9.3,5
0.5,0.053,3.09,9.4,5
0.1,0.048,3.21,9.8,5
0.09,0.108,3.07,9.2,4
0.32,0.042,3.27,9.8,5
0.04,0.06,3.26,9.2,5
0.32,0.038,3.24,11.5,3
