Protein	GO_ID	GO_term
ERBB1,ERBB2,ERBB3	GO:0016324	C:apical plasma membrane
ERBB1,ERBB2,ERBB3,ERBB4	GO:0009925	C:basal plasma membrane
ERBB1,ERBB2,ERBB3,ERBB4	GO:0016323	C:basolateral plasma membrane
ERBB1,ERBB2	GO:0010008	C:endosome membrane
ERBB1,ERBB3	GO:0005615	C:extracellular space
ERBB1,ERBB2,ERBB3,ERBB4	GO:0005887	C:integral component of plasma membrane
ERBB1,ERBB2,ERBB4	GO:0005634	C:nucleus
ERBB1,ERBB2	GO:0048471	C:perinuclear region of cytoplasm
ERBB1,ERBB2,ERBB3,ERBB4	GO:0005886	C:plasma membrane
ERBB1,ERBB2,ERBB3,ERBB4	GO:0043235	C:receptor complex
ERBB1,ERBB2,ERBB3,ERBB4	GO:0005524	F:ATP binding
ERBB1,ERBB2,ERBB3	GO:0042802	F:identical protein binding
ERBB1,ERBB2	GO:0019903	F:protein phosphatase binding
ERBB1,ERBB2,ERBB4	GO:0004713	F:protein tyrosine kinase activity
ERBB1,ERBB2,ERBB3,ERBB4	GO:0004714	F:transmembrane receptor protein tyrosine kinase activity
ERBB1,ERBB2,ERBB3	GO:0004888	F:transmembrane signaling receptor activity
ERBB1,ERBB3	GO:0031625	F:ubiquitin protein ligase binding
ERBB1,ERBB2	GO:0007166	P:cell surface receptor signaling pathway
ERBB1,ERBB2,ERBB4	GO:0071364	P:cellular response to epidermal growth factor stimulus
ERBB1,ERBB2,ERBB3,ERBB4	GO:0038128	P:ERBB2 signaling pathway
ERBB1,ERBB2,ERBB3,ERBB4	GO:0000165	P:MAPK cascade
ERBB1,ERBB2,ERBB3,ERBB4	GO:0007275	P:multicellular organism development
ERBB1,ERBB4	GO:0043066	P:negative regulation of apoptotic process
ERBB1,ERBB2	GO:1901185	P:negative regulation of ERBB signaling pathway
ERBB1,ERBB2,ERBB4	GO:0018108	P:peptidyl-tyrosine phosphorylation
ERBB1,ERBB2	GO:0030307	P:positive regulation of cell growth
ERBB1,ERBB2,ERBB3,ERBB4	GO:0008284	P:positive regulation of cell population proliferation
ERBB1,ERBB2	GO:0050679	P:positive regulation of epithelial cell proliferation
ERBB1,ERBB4	GO:0070374	P:positive regulation of ERK1 and ERK2 cascade
ERBB1,ERBB2,ERBB3,ERBB4	GO:0033674	P:positive regulation of kinase activity
ERBB1,ERBB2	GO:0043406	P:positive regulation of MAP kinase activity
ERBB1,ERBB2,ERBB3,ERBB4	GO:0051897	P:positive regulation of protein kinase B signaling
ERBB1,ERBB2,ERBB4	GO:0001934	P:positive regulation of protein phosphorylation
ERBB1,ERBB4	GO:0045893	P:positive regulation of transcription, DNA-templated
ERBB1,ERBB2,ERBB4	GO:0046777	P:protein autophosphorylation
ERBB1,ERBB2,ERBB3,ERBB4	GO:2000145	P:regulation of cell motility
ERBB1,ERBB2	GO:0070372	P:regulation of ERK1 and ERK2 cascade
ERBB1,ERBB2	GO:0006357	P:regulation of transcription by RNA polymerase II
ERBB1,ERBB2,ERBB3,ERBB4	GO:0007165	P:signal transduction
ERBB1,ERBB2,ERBB3,ERBB4	GO:0007169	P:transmembrane receptor protein tyrosine kinase signaling pathway
ERBB1,ERBB2,ERBB3	GO:0042060	P:wound healing
ERBB2,ERBB4	GO:0005829	C:cytosol
ERBB2,ERBB3	GO:0038143	C:ERBB3:ERBB2 complex
ERBB2,ERBB3	GO:0043125	F:ErbB-3 class receptor binding
ERBB2,ERBB3	GO:0046982	F:protein heterodimerization activity
ERBB2,ERBB3,ERBB4	GO:0007507	P:heart development
ERBB2,ERBB3	GO:0007422	P:peripheral nervous system development
ERBB2,ERBB3	GO:0014065	P:phosphatidylinositol 3-kinase signaling
ERBB3,ERBB4	GO:0007399	P:nervous system development
ERBB3,ERBB4	GO:0014068	P:positive regulation of phosphatidylinositol 3-kinase signaling
